"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
454,108,179500,"bencinski",1390,72,2790,2092
455,107,271000,"diesel",1461,81,3999,2999
456,107,129936,"diesel",1461,81,8680,6510
457,108,226000,"bencinski",1149,55,1300,975
458,107,225181,"diesel",1870,96,1290,968
459,109,9460,"bencinski",898,66,11400,8550
460,113,134000,"diesel",1461,81,8990,6742
461,107,233000,"bencinski",1397,96,3650,2738
462,109,3800,"diesel",1461,66,15600,11700
463,107,53000,"diesel",1598,120,17500,13125
464,115,134546,"bencinski",1590,69,2700,2025
465,116,53173,"diesel",1598,88,16200,12150
466,115,197480,"diesel",1870,95,6990,5242
467,117,103000,"bencinski",1328,68,4650,3488
468,118,181000,"bencinski",1298,59,3850,2888
469,116,175000,"diesel",1956,99,6990,5242
470,119,153000,"bencinski",1298,52,1990,1492
471,116,104200,"diesel",1910,88,6150,4612
472,116,4700,"bencinski",1373,103,20590,15442
473,116,85933,"bencinski",1586,88,14790,11092
474,116,159800,"bencinski",1586,79,6870,5152
475,120,11000,"bencinski",1598,88,18290,13718
476,120,115020,"diesel",1598,88,13999,10499
477,115,212758,"diesel",1870,95,7950,5962
478,115,146969,"diesel",1870,95,7950,5962
479,121,200000,"bencinski",1328,69,1590,1192
480,115,240000,"bencinski",1995,103,6390,4792
481,116,134851,"diesel",1956,99,8999,6749
482,116,134851,"diesel",1956,99,8999,6749
483,122,174000,"bencinski",1328,69,2350,1762
484,120,109542,"bencinski",1590,59,4850,3638
485,116,155000,"diesel",1910,88,6950,5212
486,123,201000,"diesel",1995,85,2790,2092
487,124,280000,"diesel",2982,92,10000,7500
488,123,162500,"diesel",2231,100,6300,4725
489,125,270000,"diesel",1364,66,4300,3225
490,126,280000,"diesel",1995,85,1600,1200
491,127,69404,"bencinski",1197,85,12250,9188
492,125,175906,"bencinski",1298,64,3490,2618
493,125,33200,"bencinski",1329,73,11700,8775
494,127,57000,"bencinski",1329,74,5850,4388
495,125,185000,"bencinski",998,48,1750,1312
496,125,180000,"bencinski",998,51,2790,2092
497,126,333200,"diesel",1995,81,1490,1118
498,127,189800,"diesel",1998,93,3950,2962
499,125,107000,"bencinski",1329,73,7490,5618
500,127,150000,"bencinski",1398,71,4890,3668
501,125,175763,"diesel",1364,66,6100,4575
502,126,173468,"diesel",2231,110,3990,2992
503,128,85000,"diesel",1364,66,9900,7425
504,125,146000,"bencinski",1329,74,5699,4274
505,123,184000,"diesel",1998,91,12999,9749
506,125,84770,"bencinski",1329,75,8990,6742
507,126,170000,"diesel",2231,110,5900,4425
508,123,263252,"diesel",2231,100,5980,4485
509,125,76518,"bencinski",1329,73,8999,6749
510,129,125840,"diesel",1998,91,13999,10499
511,127,74000,"bencinski",1329,73,10199,7649
512,127,153570,"bencinski",1329,74,4999,3749
513,127,34028,"diesel",1598,82,12000,9000
514,123,171000,"diesel",2231,130,7200,5400
515,125,132733,"bencinski",1329,74,5999,4499
516,130,302000,"diesel",2231,100,2200,1650
517,123,238541,"bencinski",1998,110,3950,2962
518,123,110000,"bencinski",1987,116,7000,5250
519,126,169780,"diesel",1998,91,9990,7492
520,123,344112,"diesel",2231,100,5280,3960
521,130,257790,"diesel",1995,85,2900,2175
522,123,235000,"diesel",2231,100,6100,4575
523,130,244162,"diesel",2231,100,3480,2610
524,131,198777,"diesel",1968,110,10550,7912
525,132,207100,"diesel",1968,103,9650,7238
526,133,250000,"diesel",1598,77,6500,4875
527,132,274600,"diesel",1896,96,2880,2160
528,131,133944,"diesel",1598,77,10550,7912
529,133,230000,"diesel",1968,103,4999,3749
530,134,182000,"diesel",1598,55,4499,3374
531,134,188000,"bencinski",1390,55,1600,1200
532,131,210000,"diesel",1598,66,5500,4125
533,131,277000,"diesel",1896,77,2500,1875
534,131,165000,"bencinski",1390,55,1690,1268
535,134,208000,"diesel",1598,66,6250,4688
536,132,157573,"diesel",1598,77,9900,7425
537,131,272000,"diesel",1598,77,4500,3375
538,132,295000,"diesel",1896,74,1980,1485
539,133,219000,"diesel",1598,77,6950,5212
540,132,406300,"diesel",1968,103,4990,3742
541,132,168300,"diesel",1968,110,12990,9742
542,131,194000,"diesel",1968,125,10200,7650
543,132,322400,"diesel",1968,125,6100,4575
544,134,217000,"diesel",1896,47,1499,1124
545,133,219000,"diesel",1968,103,5200,3900
546,131,87000,"diesel",1598,77,7950,5962
547,132,261000,"diesel",1598,77,5000,3750
548,132,187000,"diesel",1968,103,14299,10724
549,131,220000,"diesel",1896,66,4100,3075
550,131,190000,"bencinski",1197,77,11000,8250
551,131,150000,"diesel",1598,81,10490,7868
552,134,113000,"bencinski",1390,59,3600,2700
553,131,225252,"bencinski",1984,147,6890,5168
554,131,152000,"diesel",1598,77,10790,8092
555,132,221000,"diesel",1968,103,4200,3150
556,133,218485,"diesel",1598,77,8940,6705
557,133,276000,"diesel",189,77,3200,2400
558,135,168548,"diesel",1986,120,15790,11842
559,136,175000,"diesel",1968,103,14950,11212
560,131,132000,"diesel",1896,77,5990,4492
561,136,276000,"diesel",1968,85,9000,6750
562,132,260000,"diesel",1896,77,4790,3592
563,131,50000,"bencinski",1984,169,25250,18938
564,137,104000,"diesel",1560,84,10970,8228
565,138,211000,"bencinski",1969,180,13500,10125
566,139,316076,"diesel",2401,120,3000,2250
567,140,310000,"diesel",1998,100,2500,1875
568,137,119435,"diesel",1560,84,12190,9142
569,137,110270,"diesel",1560,84,13850,10388
570,141,123000,"diesel",1560,84,10490,7868
571,141,96552,"diesel",1969,88,15680,11760
572,139,168000,"diesel",1984,120,11500,8625
573,142,124000,"bencinski",1798,92,4200,3150
574,143,197125,"diesel",2400,151,15790,11842
575,144,15856,"diesel",1969,173,52500,39375
576,145,10500,"diesel",1969,140,39990,29992
577,141,142668,"diesel",1984,100,12990,9742
578,138,272086,"diesel",2400,120,6170,4628
579,140,229800,"diesel",1998,100,1900,1425
580,141,131681,"diesel",1984,100,126900,95175
581,146,200000,"diesel",1984,100,13100,9825
582,143,292000,"diesel",2400,136,4400,3300
583,137,100217,"diesel",1969,88,12860,9645
584,146,84207,"diesel",1969,110,26999,20249
585,147,244399,"diesel",1560,80,3490,2618
586,148,26272,"diesel",1969,173,57999,43499
587,141,265000,"bencinski",1595,132,13999,10499
